HpGP-CAN-018	100.00	1	1	S1	1055532	                    Helicobacter pylori Aklavik86
HpGP-CAN-019	100.00	1	1	S1	1055532	                    Helicobacter pylori Aklavik86
HpGP-CAN-020	100.00	1	1	S1	1055532	                    Helicobacter pylori Aklavik86
HpGP-CAN-022	100.00	1	1	S1	1055532	                    Helicobacter pylori Aklavik86
HpGP-CAN-023	100.00	1	1	S1	1055532	                    Helicobacter pylori Aklavik86
HpGP-CAN-025	100.00	1	1	S1	1055532	                    Helicobacter pylori Aklavik86
HpGP-CAN-026	100.00	1	1	S1	1055532	                    Helicobacter pylori Aklavik86
HpGP-CHI-001	100.00	1	1	S1	765962	                    Helicobacter pylori SJM180
HpGP-CHI-002	100.00	1	1	S1	1163743	                    Helicobacter pylori HUP-B14
HpGP-CHI-004	100.00	1	1	S1	765962	                    Helicobacter pylori SJM180
HpGP-CHI-005	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-CHI-006	100.00	1	1	S1	1055532	                    Helicobacter pylori Aklavik86
HpGP-CHI-007	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-CHI-008	100.00	1	1	S1	1055532	                    Helicobacter pylori Aklavik86
HpGP-CHI-010	100.00	1	1	S1	1055532	                    Helicobacter pylori Aklavik86
HpGP-CHI-011	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-CHI-014	100.00	1	1	S1	1163743	                    Helicobacter pylori HUP-B14
HpGP-CHI-016	100.00	1	1	S1	765962	                    Helicobacter pylori SJM180
HpGP-CHI-017	100.00	1	1	S1	1163743	                    Helicobacter pylori HUP-B14
HpGP-CHI-018	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-CHI-021	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-CHI-022	100.00	1	1	S1	1055532	                    Helicobacter pylori Aklavik86
HpGP-CHI-023	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-CHI-024	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-CHI-026	100.00	1	1	S1	1055527	                    Helicobacter pylori ELS37
HpGP-CHI-027	100.00	1	1	S1	1055532	                    Helicobacter pylori Aklavik86
HpGP-CHI-028	100.00	1	1	S1	765962	                    Helicobacter pylori SJM180
HpGP-CHI-101	100.00	1	1	S1	1163743	                    Helicobacter pylori HUP-B14
HpGP-CHI-102	100.00	1	1	S1	1163743	                    Helicobacter pylori HUP-B14
HpGP-CHI-103	100.00	1	1	S1	765962	                    Helicobacter pylori SJM180
HpGP-CHI-104	100.00	1	1	S1	1055529	                    Helicobacter pylori Puno135
HpGP-CHI-105	100.00	1	1	S1	1055532	                    Helicobacter pylori Aklavik86
HpGP-CHI-106	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-CHI-107	100.00	1	1	S1	765962	                    Helicobacter pylori SJM180
HpGP-CHI-110	100.00	1	1	S1	765962	                    Helicobacter pylori SJM180
HpGP-CHI-113	100.00	1	1	S1	1163743	                    Helicobacter pylori HUP-B14
HpGP-CHI-114	100.00	1	1	S1	1163743	                    Helicobacter pylori HUP-B14
HpGP-CHI-116	100.00	1	1	S1	1055532	                    Helicobacter pylori Aklavik86
HpGP-CHI-117	100.00	1	1	S1	765962	                    Helicobacter pylori SJM180
HpGP-CHI-119	100.00	1	1	S1	1055532	                    Helicobacter pylori Aklavik86
HpGP-CHI-120	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-CHI-122	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-CHI-123	100.00	1	1	S1	765962	                    Helicobacter pylori SJM180
HpGP-CHI-124	100.00	1	1	S1	1055532	                    Helicobacter pylori Aklavik86
HpGP-CHI-125	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-CHI-126	100.00	1	1	S1	1163743	                    Helicobacter pylori HUP-B14
HpGP-CHI-127	100.00	1	1	S1	1055532	                    Helicobacter pylori Aklavik86
HpGP-CHI-204	100.00	1	1	S1	765962	                    Helicobacter pylori SJM180
HpGP-CHI-207	100.00	1	1	S1	765962	                    Helicobacter pylori SJM180
HpGP-CHI-208	100.00	1	1	S1	1055529	                    Helicobacter pylori Puno135
HpGP-CHI-209	100.00	1	1	S1	1055527	                    Helicobacter pylori ELS37
HpGP-CHI-210	100.00	1	1	S1	765962	                    Helicobacter pylori SJM180
HpGP-CHI-212	100.00	1	1	S1	765962	                    Helicobacter pylori SJM180
HpGP-CHN-001	100.00	1	1	S1	907238	                    Helicobacter pylori India7
HpGP-CHN-002	100.00	1	1	S1	1055532	                    Helicobacter pylori Aklavik86
HpGP-CHN-003	100.00	1	1	S1	907239	                    Helicobacter pylori SouthAfrica7
HpGP-CHN-004	100.00	1	1	S1	907238	                    Helicobacter pylori India7
HpGP-CHN-005	100.00	1	1	S1	907239	                    Helicobacter pylori SouthAfrica7
HpGP-CHN-006	100.00	1	1	S1	907239	                    Helicobacter pylori SouthAfrica7
HpGP-CHN-007	100.00	1	1	S1	907239	                    Helicobacter pylori SouthAfrica7
HpGP-CHN-008	100.00	1	1	S1	1321939	                    Helicobacter pylori UM037
HpGP-CHN-009	100.00	1	1	S1	1248726	                    Helicobacter pylori OK310
HpGP-CHN-010	100.00	1	1	S1	907239	                    Helicobacter pylori SouthAfrica7
HpGP-COG-001	100.00	1	1	S1	907239	                    Helicobacter pylori SouthAfrica7
HpGP-COG-002	100.00	1	1	S1	1055527	                    Helicobacter pylori ELS37
HpGP-COG-003	100.00	1	1	S1	907239	                    Helicobacter pylori SouthAfrica7
HpGP-COG-004	100.00	1	1	S2	985081	                      Helicobacter pylori 2017
HpGP-COG-005	100.00	1	1	S2	985080	                      Helicobacter pylori 2018
HpGP-COG-006	100.00	1	1	S1	907239	                    Helicobacter pylori SouthAfrica7
HpGP-COG-007	100.00	1	1	S1	907239	                    Helicobacter pylori SouthAfrica7
HpGP-COG-008	100.00	1	1	S1	907239	                    Helicobacter pylori SouthAfrica7
HpGP-COG-009	100.00	1	1	S1	907239	                    Helicobacter pylori SouthAfrica7
HpGP-COG-010	100.00	1	1	S1	907239	                    Helicobacter pylori SouthAfrica7
HpGP-COG-011	100.00	1	1	S2	985080	                      Helicobacter pylori 2018
HpGP-COL-002	100.00	1	1	S1	907237	                    Helicobacter pylori Lithuania75
